Geographical Description,Geographical Level,ONS Code,Measure Group Description,Disaggregation Level,Measure Value,IMD - Average rank ,Annual Pay Mean,Population,Year
Barking and Dagenham,Council,E09000002,Adjusted Social care-related quality of life – impact of Adult Social Care services,Total,0.422,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,621.0,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,6.9,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,Total,67.6,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,18-64,70.8,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,65 and over,64.9,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,Female,66.8,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,Male,68.7,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of adults in contact with secondary mental health services in paid employment,Total,7.0,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of adults in contact with secondary mental health services in paid employment,Female,8.0,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of adults in contact with secondary mental health services in paid employment,Male,6.0,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Total,85.0,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Female,86.0,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Male,83.0,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities in paid employment,Total,2.6,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities in paid employment,Female,1.3,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities in paid employment,Male,3.3,25551.85,29128,73662.0,2021
