Geographical Description,Geographical Level,ONS Code,Measure Group Description,Disaggregation Level,Measure Value,IMD - Average rank ,Annual Pay Mean,Population,Year
Barking and Dagenham,Council,E09000002,Adjusted Social care-related quality of life – impact of Adult Social Care services,Total,0.41,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,"Delayed transfers of care from hospital per 100,000 population",Total,5.7,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",Total,0.9,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",Total,0.0,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,677.5,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,13.9,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,Total,65.6,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,18-64,67.6,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,65 and over,64.0,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,Female,63.4,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,Male,68.3,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of adults in contact with secondary mental health services in paid employment,Total,7.0,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of adults in contact with secondary mental health services in paid employment,Female,7.0,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of adults in contact with secondary mental health services in paid employment,Male,6.0,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Total,82.0,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Female,83.0,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Male,81.0,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities in paid employment,Total,2.8,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities in paid employment,Female,1.3,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities in paid employment,Male,3.6,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities who live in their own home or with their family,Total,89.2,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities who live in their own home or with their family,Female,89.4,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities who live in their own home or with their family,Male,89.1,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Total,85.0,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Female,92.7,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Male,68.4,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,65 and over,85.0,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Total,3.9,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Female,5.1,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Male,2.6,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,65 and over,3.92,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive direct payments,Total,41.5,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive direct payments,18-64,52.5,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive direct payments,65 and over,30.5,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive direct payments,Total,100.0,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive direct payments,18-64,100.0,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive direct payments,65 and over,100.0,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive self-directed support,Total,81.4,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive self-directed support,18-64,72.9,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive self-directed support,65 and over,89.9,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive self-directed support,Total,100.0,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive self-directed support,18-64,100.0,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive self-directed support,65 and over,100.0,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,Total,71.0,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,18-64,71.1,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,65 and over,70.9,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,Female,65.9,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,Male,77.4,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,Total,66.6,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,18-64,69.1,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,65 and over,64.7,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,Female,62.8,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,Male,71.4,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,Total,75.1,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,18-64,78.5,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,65 and over,72.4,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,Female,72.1,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,Male,78.7,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,Total,49.5,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,18-64,54.3,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,65 and over,45.9,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,Female,45.8,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,Male,54.2,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,Total,83.6,25551.85,27748,150015.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,18-64,87.0,25551.85,27748,130208.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,65 and over,80.9,25551.85,27748,19807.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,Female,78.3,25551.85,27748,76353.0,2020
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,Male,90.2,25551.85,27748,73662.0,2020
Barking and Dagenham,Council,E09000002,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,Total,46.9,25551.85,27748,150015.0,2020
